,LHS,RHS,support,confidence,coverage,lift,count
63,"{purchase_factors:Price,purchase_factors:Customisable options,purchase_factors:Technological features}",{purchase_factors:Sustainability/environment considerations},0.10638297872340426,0.8333333333333334,0.1276595744680851,2.447916666666667,5
66,"{purchase_factors:Price,purchase_factors:Functionality,purchase_factors:Customisable options}",{purchase_factors:Size},0.10638297872340426,0.8333333333333334,0.1276595744680851,1.5666666666666669,5
68,"{purchase_factors:Price,purchase_factors:Customisable options,purchase_factors:Aesthetics}",{purchase_factors:Technological features},0.10638297872340426,1.0,0.10638297872340426,1.5161290322580645,5
72,"{purchase_factors:Functionality,purchase_factors:Customisable options,purchase_factors:Brand name}",{purchase_factors:Technological features},0.10638297872340426,1.0,0.10638297872340426,1.5161290322580645,5
12,"{purchase_factors:Customisable options,purchase_factors:Sustainability/environment considerations}",{purchase_factors:Technological features},0.10638297872340426,1.0,0.10638297872340426,1.5161290322580645,5
62,"{purchase_factors:Price,purchase_factors:Customisable options,purchase_factors:Sustainability/environment considerations}",{purchase_factors:Technological features},0.10638297872340426,1.0,0.10638297872340426,1.5161290322580645,5
20,"{purchase_factors:Customisable options,purchase_factors:Brand name}",{purchase_factors:Technological features},0.10638297872340426,1.0,0.10638297872340426,1.5161290322580645,5
162,"{purchase_factors:Brand name,purchase_factors:Aesthetics,purchase_factors:Technological features,purchase_factors:Sustainability/environment considerations}",{purchase_factors:Functionality},0.1276595744680851,1.0,0.1276595744680851,1.46875,6
65,"{purchase_factors:Price,purchase_factors:Size,purchase_factors:Customisable options}",{purchase_factors:Functionality},0.10638297872340426,1.0,0.10638297872340426,1.46875,5
71,"{purchase_factors:Customisable options,purchase_factors:Brand name,purchase_factors:Technological features}",{purchase_factors:Functionality},0.10638297872340426,1.0,0.10638297872340426,1.46875,5
204,"{purchase_factors:Price,purchase_factors:Brand name,purchase_factors:Aesthetics,purchase_factors:Technological features,purchase_factors:Sustainability/environment considerations}",{purchase_factors:Functionality},0.1276595744680851,1.0,0.1276595744680851,1.46875,6
80,"{purchase_factors:Size,purchase_factors:Technological features,purchase_factors:Sustainability/environment considerations}",{purchase_factors:Functionality},0.1276595744680851,1.0,0.1276595744680851,1.46875,6
100,"{purchase_factors:Brand name,purchase_factors:Technological features,purchase_factors:Sustainability/environment considerations}",{purchase_factors:Functionality},0.1702127659574468,1.0,0.1702127659574468,1.46875,8
23,"{purchase_factors:Customisable options,purchase_factors:Brand name}",{purchase_factors:Functionality},0.10638297872340426,1.0,0.10638297872340426,1.46875,5
154,"{purchase_factors:Price,purchase_factors:Size,purchase_factors:Technological features,purchase_factors:Sustainability/environment considerations}",{purchase_factors:Functionality},0.1276595744680851,1.0,0.1276595744680851,1.46875,6
200,"{purchase_factors:Price,purchase_factors:Size,purchase_factors:Brand name,purchase_factors:Technological features,purchase_factors:Sustainability/environment considerations}",{purchase_factors:Functionality},0.10638297872340426,1.0,0.10638297872340426,1.46875,5
151,"{purchase_factors:Size,purchase_factors:Brand name,purchase_factors:Technological features,purchase_factors:Sustainability/environment considerations}",{purchase_factors:Functionality},0.10638297872340426,1.0,0.10638297872340426,1.46875,5
14,"{purchase_factors:Size,purchase_factors:Customisable options}",{purchase_factors:Functionality},0.10638297872340426,1.0,0.10638297872340426,1.46875,5
174,"{purchase_factors:Price,purchase_factors:Brand name,purchase_factors:Technological features,purchase_factors:Sustainability/environment considerations}",{purchase_factors:Functionality},0.14893617021276595,1.0,0.14893617021276595,1.46875,7
98,"{purchase_factors:Price,purchase_factors:Brand name,purchase_factors:Sustainability/environment considerations}",{purchase_factors:Aesthetics},0.19148936170212766,0.9,0.2127659574468085,1.4586206896551726,9
133,"{purchase_factors:Price,purchase_factors:Functionality,purchase_factors:Aesthetics}",{purchase_factors:Technological features},0.3404255319148936,0.9411764705882353,0.3617021276595745,1.426944971537002,16
161,"{purchase_factors:Functionality,purchase_factors:Aesthetics,purchase_factors:Technological features,purchase_factors:Sustainability/environment considerations}",{purchase_factors:Brand name},0.1276595744680851,1.0,0.1276595744680851,1.4242424242424243,6
195,"{purchase_factors:Price,purchase_factors:Functionality,purchase_factors:Size,purchase_factors:Aesthetics,purchase_factors:Sustainability/environment considerations}",{purchase_factors:Brand name},0.10638297872340426,1.0,0.10638297872340426,1.4242424242424243,5
185,"{purchase_factors:Price,purchase_factors:Functionality,purchase_factors:Size,purchase_factors:Aesthetics}",{purchase_factors:Brand name},0.23404255319148937,1.0,0.23404255319148937,1.4242424242424243,11
183,"{purchase_factors:Price,purchase_factors:Size,purchase_factors:Aesthetics,purchase_factors:Technological features}",{purchase_factors:Brand name},0.23404255319148937,1.0,0.23404255319148937,1.4242424242424243,11
77,"{purchase_factors:Size,purchase_factors:Aesthetics,purchase_factors:Sustainability/environment considerations}",{purchase_factors:Brand name},0.1276595744680851,1.0,0.1276595744680851,1.4242424242424243,6
176,"{purchase_factors:Functionality,purchase_factors:Size,purchase_factors:Aesthetics,purchase_factors:Technological features}",{purchase_factors:Brand name},0.2127659574468085,1.0,0.2127659574468085,1.4242424242424243,10
94,"{purchase_factors:Functionality,purchase_factors:Aesthetics,purchase_factors:Sustainability/environment considerations}",{purchase_factors:Brand name},0.14893617021276595,1.0,0.14893617021276595,1.4242424242424243,7
208,"{purchase_factors:Price,purchase_factors:Functionality,purchase_factors:Size,purchase_factors:Aesthetics,purchase_factors:Technological features}",{purchase_factors:Brand name},0.2127659574468085,1.0,0.2127659574468085,1.4242424242424243,10
203,"{purchase_factors:Price,purchase_factors:Functionality,purchase_factors:Aesthetics,purchase_factors:Technological features,purchase_factors:Sustainability/environment considerations}",{purchase_factors:Brand name},0.1276595744680851,1.0,0.1276595744680851,1.4242424242424243,6
110,"{purchase_factors:Size,purchase_factors:Aesthetics,purchase_factors:Technological features}",{purchase_factors:Brand name},0.23404255319148937,1.0,0.23404255319148937,1.4242424242424243,11
112,"{purchase_factors:Functionality,purchase_factors:Size,purchase_factors:Aesthetics}",{purchase_factors:Brand name},0.2553191489361702,1.0,0.2553191489361702,1.4242424242424243,12
142,"{purchase_factors:Functionality,purchase_factors:Size,purchase_factors:Aesthetics,purchase_factors:Sustainability/environment considerations}",{purchase_factors:Brand name},0.10638297872340426,1.0,0.10638297872340426,1.4242424242424243,5
148,"{purchase_factors:Price,purchase_factors:Size,purchase_factors:Aesthetics,purchase_factors:Sustainability/environment considerations}",{purchase_factors:Brand name},0.1276595744680851,1.0,0.1276595744680851,1.4242424242424243,6
171,"{purchase_factors:Price,purchase_factors:Functionality,purchase_factors:Aesthetics,purchase_factors:Sustainability/environment considerations}",{purchase_factors:Brand name},0.14893617021276595,1.0,0.14893617021276595,1.4242424242424243,7
193,"{purchase_factors:Price,purchase_factors:Functionality,purchase_factors:Brand name,purchase_factors:Aesthetics}",{purchase_factors:Technological features},0.3191489361702128,0.9375,0.3404255319148936,1.4213709677419355,15
172,"{purchase_factors:Price,purchase_factors:Functionality,purchase_factors:Brand name,purchase_factors:Sustainability/environment considerations}",{purchase_factors:Aesthetics},0.14893617021276595,0.875,0.1702127659574468,1.418103448275862,7
189,"{purchase_factors:Price,purchase_factors:Functionality,purchase_factors:Size,purchase_factors:Brand name}",{purchase_factors:Technological features},0.2765957446808511,0.9285714285714286,0.2978723404255319,1.4078341013824887,13
78,"{purchase_factors:Size,purchase_factors:Brand name,purchase_factors:Sustainability/environment considerations}",{purchase_factors:Aesthetics},0.1276595744680851,0.8571428571428571,0.14893617021276595,1.3891625615763545,6
149,"{purchase_factors:Price,purchase_factors:Size,purchase_factors:Brand name,purchase_factors:Sustainability/environment considerations}",{purchase_factors:Aesthetics},0.1276595744680851,0.8571428571428571,0.14893617021276595,1.3891625615763545,6
206,"{purchase_factors:Price,purchase_factors:Functionality,purchase_factors:Brand name,purchase_factors:Technological features,purchase_factors:Sustainability/environment considerations}",{purchase_factors:Aesthetics},0.1276595744680851,0.8571428571428571,0.14893617021276595,1.3891625615763545,6
169,"{purchase_factors:Price,purchase_factors:Brand name,purchase_factors:Technological features,purchase_factors:Sustainability/environment considerations}",{purchase_factors:Aesthetics},0.1276595744680851,0.8571428571428571,0.14893617021276595,1.3891625615763545,6
181,"{purchase_factors:Price,purchase_factors:Functionality,purchase_factors:Size,purchase_factors:Aesthetics}",{purchase_factors:Technological features},0.2127659574468085,0.9090909090909091,0.23404255319148937,1.378299120234604,10
210,"{purchase_factors:Price,purchase_factors:Functionality,purchase_factors:Size,purchase_factors:Brand name,purchase_factors:Aesthetics}",{purchase_factors:Technological features},0.2127659574468085,0.9090909090909091,0.23404255319148937,1.378299120234604,10
192,"{purchase_factors:Price,purchase_factors:Brand name,purchase_factors:Aesthetics,purchase_factors:Technological features}",{purchase_factors:Functionality},0.3191489361702128,0.9375,0.3404255319148936,1.376953125,15
